STN_LABEL;ADR_NUMBER;zip;place;COM_CANTON;lat;long
Les Plans-Dessous;173b;2534;Les Prés-d'Orvin;BE;47.153926409609454;7.177296164122949
Einetswis;1g;3266;Wiler b. Seedorf;BE;47.04727538674751;7.327391740179499
Gsteigstrasse;131a;3784;Feutersoey;BE;46.408462313399006;7.267279029704489
Dorfstrasse;46;3053;Diemerswil;BE;47.01504608129879;7.42453256761731
Mösliweg;12;3645;Gwatt (Thun);BE;46.72161598907001;7.623826315449007
Schützenweg;26a;3725;Achseten;BE;46.54929272340675;7.6093402104920465
Lengg;26;3753;Oey;BE;46.65731391341566;7.581329597739518
Ausser Schönenwald;32a;6197;Schangnau;BE;46.83286899079349;7.831644239323097
Dorfstrasse;61;3073;Gümligen;BE;46.93562518198398;7.510322144971024
Parkweg;49;3053;Münchenbuchsee;BE;47.01422754051554;7.454557874595348
Oberdorfstrasse;35;3053;Münchenbuchsee;BE;47.02000317597239;7.445865350862011
Unterhäusernweg;13a;3818;Grindelwald;BE;46.627093981932894;8.062053620756823
Bürenstrasse;54a;3297;Leuzigen;BE;47.1748773245341;7.448798777587264
Schulrainstrasse;44a;3661;Uetendorf;BE;46.771531794264504;7.563968565617293
Rathausgasse;21;3011;Bern;BE;46.948401653367426;7.450914127611209
Sonnige Lauenenstrasse;78;3782;Lauenen b. Gstaad;BE;46.429713631840634;7.3370611170379565
Freienhofgasse;13;3600;Thun;BE;46.757065057636865;7.630557402970786
Gustern;871;3154;Rüschegg Heubach;BE;46.75568460456293;7.417746641443302
Waldhofstrasse;12b;4900;Langenthal;BE;47.21645784769747;7.792782199515124
Kilchstalden;4;3856;Brienzwiler;BE;46.7519487716219;8.100011440459769
Krummoosweg;14;3148;Lanzenhäusern;BE;46.84668135789898;7.371048981793526
Tiefenaustrasse;135;3004;Bern;BE;46.973713764193086;7.4532718291043345
Chaletweg;12;3604;Thun;BE;46.746058167705016;7.628424609382923
Dennigkofenweg;219;3072;Ostermundigen;BE;46.95269991889563;7.489733443281878
Eschenweg;2;3315;Bätterkinden;BE;47.12810601888614;7.539769379567811
Willadingenstrasse;10;3425;Koppigen;BE;47.1332476751389;7.6049715603946
Witt;58;6197;Schangnau;BE;46.82178638221895;7.849634929472287
Engehaldenstrasse;86;3012;Bern;BE;46.9594212796853;7.4413781487812924
Stegmattstrasse;30a;3628;Uttigen;BE;46.788222355993454;7.583468387150422
Iffigenstrasse;253;3775;Lenk im Simmental;BE;46.411840693340054;7.4392270824421844
Parkstrasse;12a;3780;Gstaad;BE;46.47040222967511;7.289762127407097
Sonnenbergweg;17;3818;Grindelwald;BE;46.627723737914316;8.031701326330506
Gstaadstrasse;93;3780;Gstaad;BE;46.4820456807541;7.278882276525833
Konsumgasse;1;3315;Bätterkinden;BE;47.1308918066124;7.542726977328352
Chumm;137;3635;Uebeschi;BE;46.739553961721995;7.55448695336489
Mattenweg;11a;3647;Reutigen;BE;46.692907540717684;7.620590677097076
Alpenstrasse;2;3800;Interlaken;BE;46.68415966820007;7.858091831945969
Rue des Roches;2a;2610;St-Imier;BE;47.151065254319725;6.9909217622704025
Kreuzstrasse;7;4536;Attiswil;BE;47.24793331339276;7.609249963966657
Rue du Temple;27;2738;Court;BE;47.23948276468745;7.333723495273491
Nirggenstrasse;12b;3818;Grindelwald;BE;46.622983705765044;8.02459874744288
Dennigkofenweg;79;3073;Gümligen;BE;46.94226299191252;7.4951874254243975
Holestrasse;11;3294;Büren an der Aare;BE;47.143255533904586;7.381888026228081
Einschlagweg;70;3414;Oberburg;BE;47.0425876771906;7.628219338763953
Gabelrütteweg;3;3323;Bäriswil BE;BE;47.02033816843031;7.527848603994147
Choserfeldweg;36;3400;Burgdorf;BE;47.061100252240266;7.604327624980802
Mösli;1b;3615;Heimenschwand;BE;46.82221032302355;7.682421154300414
