type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,aargau?map=false&pt=1000000,"Alte Anglikerstrasse 27, ",5610 Wohlen AG, 1287720.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,170,,,,,,
wohnung,aargau?map=false&pt=1000000,"Im Aengerli 6, ",4313 Möhlin, 1031490.– ,"Balkon / Terrasse, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,51,,,2024,,,
wohnung,aargau?map=false&pt=1000000,"Alzbachstrasse 13, ",5734 Reinach AG, 913230.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,140,,,2024,,,
wohnung,aargau?map=false&pt=1000000,"Lenzburgerstrasse 78, ",5504 Othmarsingen, 873810.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau",31.03.2026,Wohnung,2.5,4,65,,,2025,,,
wohnung,aargau?map=false&pt=1000000,,5432 Neuenhof, 1103760.– ,"Parkplatz, Neubau",31.07.2026,Wohnung,2.5,,73,,,,,,
wohnung,aargau?map=false&pt=1000000,"Egliswilerstrasse, ",5707 Seengen, 1031490.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,2,68,,,2023,,4,
wohnung,aargau?map=false&pt=1000000,"Hohlenweg, ",5072 Oeschgen, 978930.– ,"Balkon / Terrasse, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau",01.09.2025,Wohnung,2.5,4,140,,,2025,,7,
wohnung,aargau?map=false&pt=1000000,"Aecherligasse 4, ",4665 Oftringen, 1169460.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Waschmaschine, Tumbler, Rollstuhlgängig, Garage, Lift, Neubau",01.04.2025,Wohnung,3.5,3,160,,,,,,
wohnung,aargau?map=false&pt=1000000,"Brütschenbächliweg 6, ",5722 Gränichen, 1208880.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,3,150,,,2024,,,
wohnung,aargau?map=false&pt=1000000,"Alzbachstrasse 13, ",5734 Reinach AG, 781830.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,64,,,2024,,,
wohnung,aargau?map=false&pt=1000000,"Stauseestrasse 17, ",5314 Kleindöttingen, 1116900.– ,"Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Garage, Lift, Neubau, Minergie zertifiziert",Sofort,Attikawohnung,2.5,6,74,,,2020,,,
