type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,waadt?map=false&pf=1000000&pt=1500000,,1262 Eysins, 1655640.– ,Neubau,Nach Vereinbarung,Wohnung,2.5,,130,,,2023,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,"Route du Vignoble 7, ",1803 Chardonne, 1701630.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau",Sofort,Terrassenwohnung,3.5,,150,,,2024,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,,1262 Eysins, 1918440.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,150,,,2023,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,,1180 Rolle, 1655640.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Lift, Neubau, Minergie zertifiziert",31.05.2025,Wohnung,2.5,,65,,,2025,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,,1095 Lutry, 1918440.– ,"Balkon / Terrasse, Garage, Neubau",Nach Vereinbarung,Wohnung,2.5,,67,44,,2024,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,"Route du Vignoble 7, ",1803 Chardonne, 1458540.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau",Sofort,Terrassenwohnung,2.5,,130,,,2024,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,,1004 Lausanne,auf Anfrage,Neubau,01.12.2024,Wohnung,2.5,,70,14,,2023,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,"Chemin Pré-Val 2, ",1110 Morges, 1747620.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,140,,,2025,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,,1114 Colombier, 1668780.– ,Neubau,Nach Vereinbarung,Maisonette / Duplex,4.5,,,,,2024,,,
wohnung,waadt?map=false&pf=1000000&pt=1500000,"Chemin Pré-Val, ",1110 Morges, 1432260.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,,,,2025,,,
