type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,genf,"Villa de haut-standing, ",1293 Bellevue,auf Anfrage,,31.12.2025,Einfamilienhaus,4,2,,,,2024,,,
haus,genf,"Rive Gauche, ",1223 Cologny,auf Anfrage,,Nach Vereinbarung,Einfamilienhaus,8,,450,,,,,1,
haus,genf,"Choulex, ",1244 Choulex,auf Anfrage,,Nach Vereinbarung,Schloss,16,,1330,,,,2010,2,
haus,genf,"Cologny, ",1223 Cologny,auf Anfrage,,Nach Vereinbarung,Einfamilienhaus,6,,550,,,1980,1993,,
haus,genf,"Collonge-Bellerive, ",1245 Collonge-Bellerive, 14454000.– ,,Nach Vereinbarung,Einfamilienhaus,6,,,,,1987,2012,2,
haus,genf,"Bellevue, ",1293 Bellevue, 9198000.– ,,Nach Vereinbarung,Einfamilienhaus,7,,,,,,,,
haus,genf,"Vandoeuvres, ",1253 Vandoeuvres,auf Anfrage,,Nach Vereinbarung,Einfamilienhaus,7,,,,,1959,,1,
haus,genf,"Vésenaz, ",1222 Vésenaz,auf Anfrage,,Nach Vereinbarung,Einfamilienhaus,4,,,,,2025,,,
haus,genf,,1244 Choulex, 25623000.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz, Garage, Lift, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,16,,1330,6000,,1750,2010,3,
haus,genf,"en campagne genevoise, ",1284 Chancy, 2036700.– ,,Nach Vereinbarung,Einfamilienhaus,4,,230,,,,,,
haus,genf,,1214 Vernier,auf Anfrage,"Aussicht, Parkplatz, Garage",Nach Vereinbarung,Doppeleinfamilienhaus,7,,240,614,860,2009,,,
haus,genf,,1241 Puplinge,auf Anfrage,"Balkon / Terrasse, Aussicht, Parkplatz",Nach Vereinbarung,Villa,5.5,,320,2179,,,,,
haus,genf,,1255 Veyrier, 8541000.– ,"Balkon / Terrasse, Mit Gartenhaus, Cheminée, Garage, Swimmingpool",01.01.2025,Einfamilienhaus,6,,430,1400,,2000,,,
haus,genf,,1285 Athenaz (Avusy), 5847300.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Einfamilienhaus,7,,860,460,2200,1630,2023,,
haus,genf,,1216 Cointrin, 2562300.– ,"Balkon / Terrasse, Cheminée, Aussicht",Nach Vereinbarung,Doppeleinfamilienhaus,4,,280,430,,2004,2017,1,
haus,genf,,1294 Genthod, 2102400.– ,"Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,5.5,1,200,1015,,1971,,,
haus,genf,,1212 Grand-Lancy,auf Anfrage,"Aussicht, Parkplatz, Garage",Nach Vereinbarung,Villa,7,,260,764,,2003,,,
haus,genf,,1212 Grand-Lancy, 5387400.– ,"Aussicht, Parkplatz, Garage",Nach Vereinbarung,Villa,4.5,,260,1416,660,2010,,,
haus,genf,,1285 Athenaz (Avusy), 3403260.– ,"Aussicht, Parkplatz",Nach Vereinbarung,Einfamilienhaus,5,,280,952,,,2009,,
haus,genf,,1217 Meyrin, 6438600.– ,"Balkon / Terrasse, Mit Gartenhaus, Cheminée, Parkplatz, Swimmingpool",Sofort,Einfamilienhaus,7,,520,1800,,1700,2005,,
haus,genf,,1234 Vessy, 3311280.– ,"Cheminée, Aussicht, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,4,2,300,743,715,1960,1993,,
haus,genf,,1228 Plan-les-Ouates, 3797460.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,5.5,,310,1100,,1930,2019,,
haus,genf,,1236 Cartigny, 6504300.– ,,Nach Vereinbarung,Einfamilienhaus,,,,,,,2021,,
haus,genf,"Chemin de la Tour-de-Pinchat 12, ",1234 Vessy, 2877660.– ,"Balkon / Terrasse, Kinderfreundlich, Neubau, Minergie Bauweise",Nach Vereinbarung,Einfamilienhaus,4,,180,490,,2024,,,
haus,genf,,1223 Cologny, 8935200.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz",Sofort,Villa,7,,410,1100,1290,2000,2017,,
haus,genf,,1288 Aire-la-Ville, 6497730.– ,"Cheminée, Parkplatz",Nach Vereinbarung,Einfamilienhaus,7,,,1200,,,,,
haus,genf,,1226 Thônex,auf Anfrage,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,6,,260,1100,1015,1970,2017,,
haus,genf,,1253 Genève,auf Anfrage,"Balkon / Terrasse, Aussicht, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,4,1,700,2531,1660,1999,,,
haus,genf,,1226 Thônex, 2233800.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Nach Vereinbarung,Doppeleinfamilienhaus,4,,300,170,,1800,2013,,
haus,genf,,1252 Meinier,auf Anfrage,"Balkon / Terrasse, Mit Gartenhaus, Cheminée, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,18,,1970,500000,,1625,2010,,
haus,genf,,1224 Chêne-Bougeries, 19578600.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage, Swimmingpool, Minergie Bauweise",Nach Vereinbarung,Einfamilienhaus,7,,730,2045,1580,2012,2013,,
haus,genf,,1212 Grand-Lancy, 2890800.– ,"Balkon / Terrasse, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4,,,1000,,1946,2018,,
