type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,tessin?map=false&pf=400000&pt=500000,"Viale Carlo Pereda, 5, ",6828 Balerna, 630720.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Sofort,Wohnung,2.5,,67,,,,,,
wohnung,tessin?map=false&pf=400000&pt=500000,"Via alla Fabbrica 12, ",6934 Bioggio, 656340.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Wohnung,3.5,,44,,,2023,,,
wohnung,tessin?map=false&pf=400000&pt=500000,"Piazza Arch. Frasca, ",6932 Breganzona, 604440.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, In Wohngemeinschaft",Nach Vereinbarung,Wohnung,3.5,4,45,,,2019,,10,
wohnung,tessin?map=false&pf=400000&pt=500000,"Via Lombardia, ",6833 Vacallo, 657000.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Waschmaschine, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Lift, Neubau",Sofort,Wohnung,2.5,3,54,,,2021,2023,,
wohnung,tessin?map=false&pf=400000&pt=500000,,6834 Morbio Inferiore,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Swimmingpool, Neubau",Nach Vereinbarung,Wohnung,2.5,3,,,,2018,,,
wohnung,tessin?map=false&pf=400000&pt=500000,"Via Zarigo, ",6802 Monteceneri, 570270.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Ruhige Lage, Parkplatz, Neubau, Hochparterre",Nach Vereinbarung,Maisonette / Duplex,2,3,57,,,2024,,,
wohnung,tessin?map=false&pf=400000&pt=500000,"Via Portiora, ",6500 Bellinzona,auf Anfrage,"Balkon / Terrasse, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Neubau, Minergie Bauweise",Nach Vereinbarung,Maisonette / Duplex,2.5,2,,,,2023,,,2.5
wohnung,tessin?map=false&pf=400000&pt=500000,"Via Camponovo, ",6832 Pedrinate, 538740.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Kabel-TV, Spielplatz, Parkplatz, Garage, Neubau",Sofort,Wohnung,3.5,,,,73,,,,
wohnung,tessin?map=false&pf=400000&pt=500000,,6987 Caslano, 578160.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,46,,,2023,,,
wohnung,tessin?map=false&pf=400000&pt=500000,,6500 Bellinzona,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Wohnung,3.5,,,,,2023,2023,,
