type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,zuerich,"Bützistrasse 23, ",8132 Egg, 2131440.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Mittelhaus",15.03.2025,Reihenfamilienhaus,3.5,3,190 m²,208 m²,573 m³,1996,,,
haus,zuerich,"Im Geissacker 24, ",8404 Winterthur, 2953200.– ,"Balkon / Terrasse, Parkplatz, Garage",Sofort,Einfamilienhaus,3.5,2,200 m²,682 m²,700 m³,1960,2024,,2.45
haus,zuerich,,8810 Horgen, 2169960.– ,"Parkplatz, Garage, Altbau",Sofort,Mehrfamilienhaus,,4,210 m²,482 m²,,1730,1998,,
haus,zuerich,,8634 Hombrechtikon, 1271160.– ,"Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,,170 m²,,,,,,
haus,zuerich,"Im Waidegg 7, ",8037 Zürich,auf Anfrage,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,230 m²,286 m²,840 m³,1926,,,
haus,zuerich,"Niederhasli, ",8155 Niederhasli, 1771920.– ,Cheminée,Nach Vereinbarung,Einfamilienhaus,3.5,1,170 m²,594 m²,683 m³,1968,,,
haus,zuerich,"Tisliacherstrasse 15, ",8320 Fehraltorf, 2028720.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Eckhaus",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,220 m²,493 m²,906 m³,1982,,,
haus,zuerich,"Büelstrasse 16, ",8143 Stallikon, 1640950.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,2.5,,150 m²,247 m²,537 m³,1975,,,
haus,zuerich,"Buchs ZH, ",8107 Buchs ZH, 2247000.– ,"Aussicht, Parkplatz, Garage",01.09.2024,Reihenfamilienhaus,3.5,4,210 m²,313 m²,808 m³,2007,2022,,
haus,zuerich,"Lützelstrasse 6, ",8634 Hombrechtikon, 1142760.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage",Sofort,Einfamilienhaus,2.5,,55 m²,175 m²,573 m³,1981,,,
haus,zuerich,"Kehlhofstrasse, ",8542 Wiesendangen, 2047980.– ,"Neubau, Minergie Bauweise",01.10.2024,Reihenfamilienhaus,3.5,3,,,,2024,,,
haus,zuerich,"Kehlhofstrasse, ",8542 Wiesendangen, 2047980.– ,"Neubau, Minergie Bauweise",01.10.2024,Reihenfamilienhaus,3.5,3,200 m²,172 m²,,2024,,1,
haus,zuerich,"Koloniestrasse 21, ",8310 Grafstal, 1540800.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Eckhaus",Nach Vereinbarung,Reihenfamilienhaus,3.5,3,180 m²,264 m²,593 m³,2000,,,
haus,zuerich,"Ellikon an der Thur, ",8548 Ellikon an der Thur, 2041560.– ,"Balkon / Terrasse, Garage",Sofort,Einfamilienhaus,3.5,3,230 m²,544 m²,952 m³,2003,,,
haus,zuerich,"Winterthur, ",8406 Winterthur, 1791180.– ,"Balkon / Terrasse, Aussicht, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,170 m²,335 m²,620 m³,2008,2008,,
haus,zuerich,"Bölli 14, ",8197 Rafz, 1399560.– ,Garage,Nach Vereinbarung,Einfamilienhaus,3,,170 m²,708 m²,586 m³,1949,,,
haus,zuerich,"Samstagern, ",8833 Samstagern, 1656360.– ,"Cheminée, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,220 m²,183 m²,603 m³,1988,,,
haus,zuerich,"Thurtalstrasse 8, ",8479 Altikon, 1829700.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,4.5,5,250 m²,243 m²,,,2023,,
haus,zuerich,"Rickenbach ZH, ",8545 Rickenbach ZH, 1399560.– ,"Cheminée, Parkplatz",Nach Vereinbarung,Einfamilienhaus,4.5,4,330 m²,276 m²,706 m³,1639,2006,,
haus,zuerich,"Gockhausen, ",8044 Gockhausen, 3575940.– ,"Cheminée, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,2,230 m²,820 m²,876 m³,1980,,,
haus,zuerich,"Dorfstrasse 112, ",8192 Glattfelden, 1990200.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Altbau",Nach Vereinbarung,Einfamilienhaus,4.5,,210 m²,341 m²,1011 m³,1720,,,
haus,zuerich,"Zürcherstrasse 67, ",8424 Embrach, 1861800.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Mehrfamilienhaus,5,3,360 m²,457 m²,1477 m³,1838,2018,2,
haus,zuerich,"Agasul, ",8308 Agasul,auf Anfrage,"Cheminée, Aussicht, Parkplatz",Nach Vereinbarung,Mehrfamilienhaus,5.5,4,,626 m²,1522 m³,1945,,,
haus,zuerich,"Dietikon, ",8953 Dietikon, 2722080.– ,"Cheminée, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,2.5,3,200 m²,478 m²,869 m³,2008,,,
haus,zuerich,"Lohwisstrasse 20, ",8123 Ebmatingen, 1643520.– ,"Balkon / Terrasse, Aussicht, Garage",Sofort,Reihenfamilienhaus,2.5,3,150 m²,340 m²,556 m³,1973,,,
haus,zuerich,"Tannenbergstrasse 64, ",8625 Gossau ZH, 1630680.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Garage, Eckhaus",16.09.2024,Reihenfamilienhaus,3.5,3,170 m²,223 m²,569 m³,1996,2022,1,
haus,zuerich,"Hombrechtikon, ",8634 Hombrechtikon,auf Anfrage,"Cheminée, Aussicht, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4.5,3,320 m²,796 m²,1257 m³,2009,,,
haus,zuerich,"Langächerstrasse 12a, ",8907 Wettswil, 2426760.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,3.5,,190 m²,465 m²,733 m³,1984,,,
haus,zuerich,"Laubisser Quartier, ",8105 Watt, 2298360.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Cheminée, Ruhige Lage, Kinderfreundlich, Garage, Minergie zertifiziert, In Wohngemeinschaft",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,3,220 m²,,,2000,,,
haus,zuerich,"Im Wagenstoss 22, ",8543 Kefikon ZH, 2247000.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,3.5,,210 m²,564 m²,889 m³,2005,,,
haus,zuerich,"Forchstrasse 160, ",8125 Zollikerberg,auf Anfrage,"Cheminée, Garage",Sofort,Reihenfamilienhaus,3.5,,160 m²,472 m²,,1931,,,
haus,zuerich,"Gossau ZH, ",8625 Gossau ZH, 2426760.– ,Garage,Nach Vereinbarung,Einfamilienhaus,3.5,3,200 m²,1261 m²,975 m³,1965,,,
haus,zuerich,"Hüeblistrasse 59, ",8165 Oberweningen, 1855380.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,3.5,,170 m²,484 m²,713 m³,1987,,,
haus,zuerich,"Sperdiklerstrasse 23, ",8466 Trüllikon, 1605000.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Einfamilienhaus,3.5,3,210 m²,762 m²,840 m³,1979,2023,,
haus,zuerich,"Gartenstrasse 9, ",8636 Wald ZH, 1797600.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Einfamilienhaus,4.5,,250 m²,403 m²,993 m³,1908,2018,,
haus,zuerich,"Haldenstrasse 16, ",8955 Oetwil an der Limmat, 3112410.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Lift, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,2.5,2,230 m²,,,2009,2014,,
haus,zuerich,"Hubwiesstrasse 4, ",8492 Wila, 3595200.– ,"Balkon / Terrasse, Parkplatz, Garage",Sofort,Mehrfamilienhaus,,,420 m²,1775 m²,,1992,,2,
haus,zuerich,"Chilegass 2, ",8484 Weisslingen, 2433180.– ,"Balkon / Terrasse, Parkplatz, Garage",Sofort,Mehrfamilienhaus,,,,,,1860,2024,3,
haus,zuerich,"Bahnhofstrasse 15, ",8154 Oberglatt ZH,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Einfamilienhaus,3,3,200 m²,344 m²,739 m³,2004,,1,
haus,zuerich,"Gartenstrasse 24, ",8102 Oberengstringen,auf Anfrage,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,2,170 m²,2347 m²,1770 m³,1990,2023,,
haus,zuerich,"Winkelweg 3, ",8488 Turbenthal, 3120120.– ,"Aussicht, Parkplatz",Sofort,Mehrfamilienhaus,,3,,62 m²,1060 m³,1977,2022,,
haus,zuerich,"Wydumstrasse 2, ",8427 Rorbas,auf Anfrage,,Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,260 m²,307 m²,854 m³,1998,2016,,
haus,zuerich,"Tiefenhofstrasse 2D, ",8820 Wädenswil, 3197160.– ,"Rollstuhlgängig, Parkplatz",Nach Vereinbarung,Einfamilienhaus,2.5,7,220 m²,3485 m²,11754 m³,2007,,,
haus,zuerich,"Bollerweg 46, ",8820 Wädenswil, 4750800.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Mehrfamilienhaus,,3,,1062 m²,2012 m³,1741,1998,5,
haus,zuerich,"Moosbrunnenstrasse 66, ",8426 Lufingen, 2259840.– ,Kinderfreundlich,Nach Vereinbarung,Einfamilienhaus,3.5,,240 m²,310 m²,849 m³,2005,,,
haus,zuerich,"Oerlingen, ",8461 Oerlingen, 1123500.– ,"Parkplatz, Garage",Sofort,Reihenfamilienhaus,2.5,4,150 m²,262 m²,645 m³,1820,1987,,
haus,zuerich,"Bahnstrasse 8, ",8544 Attikon, 1020780.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Eckhaus",Nach Vereinbarung,Doppeleinfamilienhaus,2.5,,120 m²,362 m²,464 m³,1963,2021,,
haus,zuerich,"Langnau am Albis, ",8135 Langnau am Albis,auf Anfrage,"Balkon / Terrasse, Aussicht, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,3,170 m²,151 m²,650 m³,1997,,,
haus,zuerich,"Hintereggstrasse 2, ",8544 Attikon, 1964520.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz, Garage, Altbau",Nach Vereinbarung,Bauernhaus,2.5,4,310 m²,843 m²,2179 m³,1840,,,
haus,zuerich,"Herferswil 14, ",8932 Mettmenstetten, 1200540.– ,"Haustiere erlaubt, Kinderfreundlich, Parkplatz, Eckhaus",01.07.2024,Einfamilienhaus,3,,55 m²,178 m²,405 m³,1850,2020,,
haus,zuerich,"Zürich, ",8006 Zürich, 3787800.– ,"Balkon / Terrasse, Cheminée, Aussicht, Garage",Nach Vereinbarung,Reihenfamilienhaus,2.5,2,180 m²,250 m²,579 m³,1981,,,
haus,zuerich,"Buckgass 6, ",8182 Hochfelden, 2349720.– ,"Haustiere erlaubt, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,,220 m²,416 m²,767 m³,2024,,1,
haus,zuerich,,8192 Glattfelden, 2426760.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Sofort,Einfamilienhaus,3,,260 m²,720 m²,1074 m³,1982,2008,,
haus,zuerich,"Huswisstrasse 1, ",8492 Wila, 1861800.– ,"Balkon / Terrasse, Mit Gartenhaus, Cheminée, Kinderfreundlich",Nach Vereinbarung,Reihenfamilienhaus,3.5,,230 m²,560 m²,,1984,2017,,
haus,zuerich,"Lerchenweg 2, ",8312 Winterberg, 3723600.– ,"Kabel-TV, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift",Nach Vereinbarung,Villa,3,3,230 m²,1100 m²,978 m³,1979,2019,,
haus,zuerich,"Buckgass 6, ",8182 Hochfelden, 1951680.– ,"Haustiere erlaubt, Kinderfreundlich, Parkplatz, Garage, Eckhaus",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,190 m²,211 m²,,2024,,2,
haus,zuerich,"Buckgass 6, ",8182 Hochfelden, 1951680.– ,"Haustiere erlaubt, Kinderfreundlich, Parkplatz, Garage, Eckhaus",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,190 m²,261 m²,703 m³,2024,,2,
haus,zuerich,"Rigistrasse 7, ",8303 Bassersdorf, 1733400.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3,,150 m²,637 m²,599 m³,1956,,,
haus,zuerich,"Stationsstrasse 21, ",8952 Schlieren, 3338400.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz, Garage, Gasanschluss",Nach Vereinbarung,Einfamilienhaus,3.5,4,310 m²,714 m²,,1927,2012,2,
haus,zuerich,"Turmweg 15, ",8174 Stadel b. Niederglatt, 2484540.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4.5,,220 m²,1257 m²,1135 m³,1972,,,
haus,zuerich,"Bülachstrasse 2, ",8154 Oberglatt, 2760600.– ,"Balkon / Terrasse, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,3,,330 m²,326 m²,,,2022,,
haus,zuerich,"Bülachstrasse 2, ",8154 Oberglatt, 2760600.– ,"Balkon / Terrasse, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,3,,330 m²,326 m²,,,2022,,
haus,zuerich,"Sunnhaldestrasse 25, ",8489 Wildberg, 1759080.– ,"Balkon / Terrasse, Garage",Nach Vereinbarung,Einfamilienhaus,2.5,,190 m²,459 m²,866 m³,2010,,,
haus,zuerich,"Gupfe 1, ",8427 Freienstein-Teufen, 2092920.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Mehrfamilienhaus,,,410 m²,917 m²,1827 m³,1805,1992,,
haus,zuerich,"Bahnhofstrasse 46, ",8112 Otelfingen, 3325560.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Einfamilienhaus,4,3,380 m²,1211 m²,1798 m³,1915,2023,,
haus,zuerich,"Weiacherstrasse 91, ",8427 Rorbas, 1476600.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Einfamilienhaus,3.5,2,150 m²,576 m²,843 m³,1963,,,
haus,zuerich,"Bergstrasse 20, ",8113 Boppelsen, 4622400.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Swimmingpool, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Einfamilienhaus,4.5,3,500 m²,2147 m²,2354 m³,1999,,,
haus,zuerich,"Im Grundholz 17, ",8614 Sulzbach, 2760600.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Swimmingpool, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Einfamilienhaus,3.5,3,210 m²,478 m²,683 m³,1995,,,
haus,zuerich,"Ankackerstrasse 8, ",8459 Volken, 1617840.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",02.08.2024,Doppeleinfamilienhaus,3.5,3,180 m²,267 m²,745 m³,2014,,,
haus,zuerich,"Bahnhofstrasse 293, ",8623 Wetzikon ZH, 924480.– ,"Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,2.5,4,51 m²,178 m²,397 m³,1860,,,
haus,zuerich,"Räterschenstrasse 33, ",8418 Waltenstein, 2435740.– ,"Balkon / Terrasse, Mit Gartenhaus, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,2,320 m²,2267 m²,1392 m³,1953,1984,,
haus,zuerich,"Felsenhofstrasse 7, ",8635 Oberdürnten, 1656360.– ,"Cheminée, Parkplatz",Nach Vereinbarung,Reihenfamilienhaus,3.5,3,160 m²,212 m²,688 m³,1990,,,
haus,zuerich,"Im Hanfland 7g, ",8493 Saland, 1605000.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,3,200 m²,344 m²,794 m³,1992,,,
haus,zuerich,"Campanellaweg 5, ",8048 Zürich, 4108800.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Einfamilienhaus,3.5,,170 m²,236 m²,,2024,,,
haus,zuerich,"Windeggstrasse 28, ",8636 Wald, 1656360.– ,"Parkplatz, Garage",Sofort,Einfamilienhaus,3.5,,210 m²,829 m²,699 m³,1963,2013,,
haus,zuerich,"Engelsteinstrasse 8, ",8344 Bäretswil, 1219800.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Sofort,Doppeleinfamilienhaus,3.5,,120 m²,176 m²,526 m³,1973,,,
haus,zuerich,"Oberseenerstrasse 46, ",8405 Winterthur, 2266260.– ,"Kinderfreundlich, Parkplatz, Neubau",Sofort,Reihenfamilienhaus,2.5,,290 m²,376 m²,,2023,,,
haus,zuerich,"Im Feld 42, ",8486 Rikon im Tösstal, 1020780.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich",Sofort,Einfamilienhaus,3.5,,160 m²,594 m²,585 m³,1979,,,
