type_search,street,price,object_type,living_area,construction_category,PLZ_only,Location,canton,BFS-Nr.,Region type,Haustiere erlaubt,Balkon,Terrasse,Kabel-TV,Rollstuhlgängig,Kinderfreundlich,Garage,Lift,Neubau,Keller,Reduit,Geschirrspüler,Steamer,Spielplatz,Eckhaus,Parkplatz,Aussicht,Minergie Bauweise,Minergie zertifiziert,Mittelhaus,Ruhige Lage,Waschmaschine,Rauchen erlaubt,Stromanschluss,Wasseranschluss,Abwasseranschluss,Cheminée,Altbau,Estrich,Swimmingpool,Bauland erschlossen,Mit Gartenhaus,Im Baurecht,Hochparterre,Gasanschluss,Tumbler,In Wohngemeinschaft,Hebebühne,Gedeckt,Anfahrrampe LKW,full_address,lat,long
immobilien,Enggenhüttenstrasse 13b,1066523.077,Wohnung,125.0,New Construction,9050,Appenzell,Appenzell Innerrhoden,3101,6 Kerngemeinde ausserhalb Agglomerationen,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enggenhüttenstrasse 13b 9050,47.33247191500753,9.394991630318968
immobilien,Enggenhüttenstrasse 13a,855230.7692,Wohnung,108.3333333,New Construction,9050,Appenzell,Appenzell Innerrhoden,3101,6 Kerngemeinde ausserhalb Agglomerationen,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enggenhüttenstrasse 13a 9050,47.33261916392648,9.395327889022672
haus,Weidstrasse 22,1415076.923,Doppeleinfamilienhaus,141.6666667,New Construction,8962,Bergdietikon,Aargau,4023,2: Agglomerationskerngemeinde (Hauptkern),0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weidstrasse 22 8962,47.39698795437955,8.376870983531436
haus,Abtwilerstrasse 1,1308946.154,Reihenfamilienhaus,191.6666667,New Construction,5645,Aettenschwil,Aargau,4239,4: Agglomerationsgürtelgemeinde,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abtwilerstrasse 1 5645,,
haus,Bündtenstrasse 7 9,1428215.385,Einfamilienhaus,141.6666667,New Construction,5612,Villmergen,Aargau,4080,2: Agglomerationskerngemeinde (Hauptkern),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bündtenstrasse 7 9 5612,,
haus,Kohlplatzweg 12,1364538.462,Reihenfamilienhaus,141.6666667,New Construction,4310,Rheinfelden,Aargau,4258,3: Agglomerationskerngemeinde (Nebenkern),1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kohlplatzweg 12 4310,47.553616242902656,7.802252978302143
haus,Jonermattenring 6,1334215.385,Einfamilienhaus,141.6666667,New Construction,5313,Klingnau,Aargau,4309,6 Kerngemeinde ausserhalb Agglomerationen,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jonermattenring 6 5313,47.58215015135351,8.251756914481021
haus,Saalhofstrasse 20b,1258407.692,Einfamilienhaus,166.6666667,New Construction,5018,Erlinsbach,Aargau,4005,2: Agglomerationskerngemeinde (Hauptkern),0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saalhofstrasse 20b 5018,47.40951034107447,8.002782518411268
haus,Reckolderhubel 1,1369592.308,Einfamilienhaus,175.0,New Construction,4665,Oftringen,Aargau,4280,2: Agglomerationskerngemeinde (Hauptkern),0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reckolderhubel 1 4665,47.30291716521706,7.944295078926214
haus,Worben 3,859153.8462,Doppeleinfamilienhaus,100.0,New Construction,5706,Boniswil,Aargau,4192,7: Ländliche Gemeinde ohne städtischen Charakter,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Worben 3 5706,47.3081664072184,8.190942158453643
